,wl,qe
0,284,0
1,300.262,7.84615
2,309.575,13.4266
3,315.347,16.2378
4,323.217,19.7063
5,329.513,21.9720
6,334.891,23.2308
7,339.482,23.8881
8,345.253,24.5315
9,354.960,24.8531
10,360.075,25.1189
11,364.929,25.5385
12,368.864,26.0140
13,375.685,26.6713
14,379.620,26.8392
15,388.539,26.8951
16,394.835,26.9650
17,399.688,26.6573
18,403.886,26.4615
19,413.199,26.0699
20,423.955,25.6224
21,435.104,24.9930
22,444.024,24.3357
23,450.713,23.7343
24,456.485,23.0769
25,461.469,22.4336
26,466.060,21.7343
27,471.044,20.8392
28,476.554,20.0839
29,482.456,19.3566
30,489.539,18.5455
31,498.721,17.7902
32,505.017,17.2587
33,510.526,16.7133
34,515.380,16.1678
35,520.233,15.2587
36,528.628,13.1608
37,536.760,11.0350
38,541.220,9.94406
39,549.221,8.57343
40,554.993,7.72028
41,565.486,6.82517
42,578.472,5.94406
43,594.606,4.96503
44,617.167,3.87413
45,640.646,2.82517
46,653.763,2.33566
47,659.534,2.25175
48,665.306,2.05594
49,670.028,1.79021
50,689.441,0.965035
51,699.934,0.853147
52,725.5,0
